Well	Plate	Sample	Detector	Cq
A1	1	SampleA	input_E1	27.17849838
A2	1	SampleA	input_E1	26.85065964
A3	1	SampleA	input_E1	27.07536389
A4	1	SampleA	input_E2	27.01875582
A5	1	SampleA	input_E2	27.24638538
A6	1	SampleA	input_E2	27.21342346
A7	1	SampleA	input_E3	29.71150994
A8	1	SampleA	input_E3	29.97782722
A9	1	SampleA	input_E3	29.66484209
B1	1	SampleB	input_E1	23.96445922
B2	1	SampleB	input_E1	23.50219518
B3	1	SampleB	input_E1	24.04842444
B4	1	SampleB	input_E2	23.31703755
B5	1	SampleB	input_E2	23.6065707
B6	1	SampleB	input_E2	23.06428608
B7	1	SampleB	input_E3	26.19435619
B8	1	SampleB	input_E3	26.06833468
B9	1	SampleB	input_E3	26.10015225
C1	1	SampleA	mock_E1	34.45253185
C2	1	SampleA	mock_E1	33.97092879
C3	1	SampleA	mock_E1	34.20385556
C4	1	SampleA	mock_E2	33.5329696
C5	1	SampleA	mock_E2	34.21691346
C6	1	SampleA	mock_E2	33.91977565
C7	1	SampleA	mock_E3	37.2325299
C8	1	SampleA	mock_E3	37.19998986
C9	1	SampleA	mock_E3	36.75528897
D1	1	SampleB	mock_E1	36.29452809
D2	1	SampleB	mock_E1	36.11180317
D3	1	SampleB	mock_E1	36.17004567
D4	1	SampleB	mock_E2	35.28050098
D5	1	SampleB	mock_E2	34.91507957
D6	1	SampleB	mock_E2	35.14285475
D7	1	SampleB	mock_E3	37.95921577
D8	1	SampleB	mock_E3	37.12605557
D9	1	SampleB	mock_E3	37.20462918
E1	1	SampleA	H3K9me3_E1	26.57404521
E2	1	SampleA	H3K9me3_E1	26.78483055
E3	1	SampleA	H3K9me3_E1	26.46407807
E4	1	SampleA	H3K9me3_E2	26.40300645
E5	1	SampleA	H3K9me3_E2	26.52099408
E6	1	SampleA	H3K9me3_E2	26.24742618
E7	1	SampleA	H3K9me3_E3	29.23330741
E8	1	SampleA	H3K9me3_E3	29.00034788
E9	1	SampleA	H3K9me3_E3	29.13270909
F1	1	SampleB	H3K9me3_E1	23.8889778
F2	1	SampleB	H3K9me3_E1	24.33973684
F3	1	SampleB	H3K9me3_E1	23.54521813
F4	1	SampleB	H3K9me3_E2	23.62411351
F5	1	SampleB	H3K9me3_E2	23.54632294
F6	1	SampleB	H3K9me3_E2	23.50948667
F7	1	SampleB	H3K9me3_E3	25.80359323
F8	1	SampleB	H3K9me3_E3	25.43998349
F9	1	SampleB	H3K9me3_E3	25.35519036
