Well	Plate	Sample	Detector	Cq
A1	1	SampleA_1	input_E1	27.17849838
A2	1	SampleA_1	input_E1	26.85065964
A3	1	SampleA_1	input_E1	27.07536389
A4	1	SampleA_1	input_E2	27.01875582
A5	1	SampleA_1	input_E2	27.24638538
A6	1	SampleA_1	input_E2	27.21342346
A7	1	SampleA_2	input_E1	27.47849838
A8	1	SampleA_2	input_E1	27.15065964
A9	1	SampleA_2	input_E1	27.37536389
A10	1	SampleA_2	input_E2	27.31875582
A11	1	SampleA_2	input_E2	27.54638538
A12	1	SampleA_2	input_E2	27.51342346
B1	1	SampleB_1	input_E1	23.96445922
B2	1	SampleB_1	input_E1	23.50219518
B3	1	SampleB_1	input_E1	24.04842444
B4	1	SampleB_1	input_E2	23.31703755
B5	1	SampleB_1	input_E2	23.6065707
B6	1	SampleB_1	input_E2	23.06428608
B7	1	SampleB_2	input_E1	24.16445922
B8	1	SampleB_2	input_E1	23.70219518
B9	1	SampleB_2	input_E1	24.24842444
B10	1	SampleB_2	input_E2	23.51703755
B11	1	SampleB_2	input_E2	23.8065707
B12	1	SampleB_2	input_E2	23.26428608
C1	1	SampleA_1	mock_E1	34.45253185
C2	1	SampleA_1	mock_E1	33.97092879
C3	1	SampleA_1	mock_E1	34.20385556
C4	1	SampleA_1	mock_E2	33.5329696
C5	1	SampleA_1	mock_E2	34.21691346
C6	1	SampleA_1	mock_E2	33.91977565
C7	1	SampleA_2	mock_E1	34.75253185
C8	1	SampleA_2	mock_E1	34.27092879
C9	1	SampleA_2	mock_E1	34.50385556
C10	1	SampleA_2	mock_E2	33.8329696
C11	1	SampleA_2	mock_E2	34.51691346
C12	1	SampleA_2	mock_E2	34.21977565
D1	1	SampleB_1	mock_E1	36.29452809
D2	1	SampleB_1	mock_E1	36.11180317
D3	1	SampleB_1	mock_E1	36.17004567
D4	1	SampleB_1	mock_E2	35.28050098
D5	1	SampleB_1	mock_E2	34.91507957
D6	1	SampleB_1	mock_E2	35.14285475
D7	1	SampleB_2	mock_E1	36.49452809
D8	1	SampleB_2	mock_E1	36.31180317
D9	1	SampleB_2	mock_E1	36.37004567
D10	1	SampleB_2	mock_E2	35.48050098
D11	1	SampleB_2	mock_E2	35.11507957
D12	1	SampleB_2	mock_E2	35.34285475
E1	1	SampleA_1	H3K9me3_E1	26.57404521
E2	1	SampleA_1	H3K9me3_E1	26.78483055
E3	1	SampleA_1	H3K9me3_E1	26.46407807
E4	1	SampleA_1	H3K9me3_E2	26.40300645
E5	1	SampleA_1	H3K9me3_E2	26.52099408
E6	1	SampleA_1	H3K9me3_E2	26.24742618
E7	1	SampleA_2	H3K9me3_E1	26.87404521
E8	1	SampleA_2	H3K9me3_E1	27.08483055
E9	1	SampleA_2	H3K9me3_E1	26.76407807
E10	1	SampleA_2	H3K9me3_E2	26.70300645
E11	1	SampleA_2	H3K9me3_E2	26.82099408
E12	1	SampleA_2	H3K9me3_E2	26.54742618
F1	1	SampleB_1	H3K9me3_E1	23.8889778
F2	1	SampleB_1	H3K9me3_E1	24.33973684
F3	1	SampleB_1	H3K9me3_E1	23.54521813
F4	1	SampleB_1	H3K9me3_E2	23.62411351
F5	1	SampleB_1	H3K9me3_E2	23.54632294
F6	1	SampleB_1	H3K9me3_E2	23.50948667
F7	1	SampleB_2	H3K9me3_E1	24.0889778
F8	1	SampleB_2	H3K9me3_E1	24.53973684
F9	1	SampleB_2	H3K9me3_E1	23.74521813
F10	1	SampleB_2	H3K9me3_E2	23.82411351
F11	1	SampleB_2	H3K9me3_E2	23.74632294
F12	1	SampleB_2	H3K9me3_E2	23.70948667
