Well	Plate	Sample	Detector	Cq
A1	1	s1	gene1	22.2502394784306
A2	1	s1	gene1	20.1192876517664
A3	1	s1	gene1	21.5798653057381
A4	1	s1	gene2	18.038498381297
A5	1	s1	gene2	17.7106596387333
A6	1	s1	gene2	17.9353638931905
A7	1	s1	gene3	20.115495143891
A8	1	s1	gene3	19.1319789161999
A9	1	s1	gene3	19.8060916795714
A10	1	s1	gene4	19.076996762594
B1	1	s1	gene4	18.4213192774666
B2	1	s1	gene4	18.8707277863809
B3	1	s2	gene1	24.1089849514824
B4	1	s2	gene1	21.1042686393247
B5	1	s2	gene1	24.6547588893994
B6	1	s2	gene2	18.324459223305
B7	1	s2	gene2	17.8621951752807
B8	1	s2	gene2	18.408424444523
B9	1	s2	gene3	20.973377669915
B10	1	s2	gene3	19.5865855258422
C1	1	s2	gene3	21.225273333569
C2	1	s2	gene4	19.64891844661
C3	1	s2	gene4	18.7243903505615
C4	1	s2	gene4	19.816848889046
C5	1	s3	gene1	23.2269128454738
C6	1	s3	gene1	24.7065049424388
C7	1	s3	gene1	24.4922524624183
C8	1	s3	gene2	18.1887558223806
C9	1	s3	gene2	18.4163853757598
C10	1	s3	gene2	18.3834234557567
D1	1	s3	gene3	20.5662674671418
D2	1	s3	gene3	21.2491561272795
D3	1	s3	gene3	21.15027036727
D4	1	s3	gene4	19.3775116447612
D5	1	s3	gene4	19.8327707515196
D6	1	s3	gene4	19.7668469115133
D7	1	s4	gene1	21.4607440885292
D8	1	s4	gene1	23.3427095492644
D9	1	s4	gene1	19.8178595301462
D10	1	s4	gene2	17.9170375520814
E1	1	s4	gene2	18.2065706998868
E2	1	s4	gene2	17.6642860815609
E3	1	s4	gene3	19.7511126562442
E4	1	s4	gene3	20.6197120996605
E5	1	s4	gene3	18.9928582446828
F1	1	s4	gene4	18.8340751041628
F2	1	s4	gene4	19.4131413997737
F3	1	s4	gene4	18.3285721631219
