Well	Plate	Sample	Detector	Cq
A1	1	NT	GeneA	24.7
A2	1	sh1	GeneA	24.98
A3	1	sh3	GeneA	24.84
A4	1	sh5	GeneA	24.45
A5	1	sh6	GeneA	24.34
A6	1	NT	HKG	16.79
A7	1	sh1	HKG	16.78
A8	1	sh3	HKG	17.14
A9	1	sh5	HKG	17.32
A10	1	sh6	HKG	16.97
B1	1	NT	GeneA	24.76
B2	1	sh1	GeneA	24.83
B3	1	sh3	GeneA	24.71
B4	1	sh5	GeneA	24.34
B5	1	sh6	GeneA	24.22
B6	1	NT	HKG	16.79
B7	1	sh1	HKG	16.6
B8	1	sh3	HKG	17.27
B9	1	sh5	HKG	17.2
B10	1	sh6	HKG	17.12
C1	1	NT	GeneA	24.72
C2	1	sh1	GeneA	25.06
C3	1	sh3	GeneA	24.84
C4	1	sh5	GeneA	24.27
C5	1	sh6	GeneA	24.2
C6	1	NT	HKG	16.89
C7	1	sh1	HKG	16.82
C8	1	sh3	HKG	17.13
C9	1	sh5	HKG	16.97
C10	1	sh6	HKG	17.08
D1	1	NT	GeneA	24.85
D2	1	sh1	GeneA	24.91
D3	1	sh3	GeneA	24.71
D4	1	sh5	GeneA	24.3
D5	1	sh6	GeneA	24.26
D6	1	NT	HKG	16.91
D7	1	sh1	HKG	16.78
D8	1	sh3	HKG	17.2
D9	1	sh5	HKG	17.15
D10	1	sh6	HKG	17.02
